


Массив с элементами от -2 до 2
1000;1.49377e+006;3175.09;4714.52;5323.88;5003.17;27164.6;780750;740597;619847;69050.1;991717;148844;
2000;6.15575e+006;5323.88;9396.97;10295;9942.19;41083.7;1.53774e+006;1.50615e+006;1.36179e+006;146727;3.41713e+006;329888;
3000;1.37389e+007;7985.82;12219.3;15586.8;14271.9;61801.9;2.32314e+006;2.3477e+006;2.1546e+006;269497;7.07393e+006;488771;
4000;2.47588e+007;12123.1;16324.4;20942.7;19788.2;85663.2;3.08737e+006;3.09103e+006;2.90508e+006;360260;1.15634e+007;644318;
5000;3.82688e+007;16452.7;23412.2;25753.5;24759.3;95541.2;3.89262e+006;3.90333e+006;3.82944e+006;455352;1.68205e+007;821193;
6000;5.4985e+007;18312.9;28255.1;31045.3;29826.6;140730;4.88902e+006;4.7853e+006;4.73675e+006;548648;2.30639e+007;993385;
7000;7.94678e+007;21616.2;29505.8;37620;34476.9;123476;5.33703e+006;5.61127e+006;5.5259e+006;693516;2.9115e+007;1.14034e+006;
8000;9.78135e+007;24727.2;35888.1;41340.3;39416;142237;6.10418e+006;6.13632e+006;6.28157e+006;724593;3.62659e+007;1.28219e+006;



Почти отсортированный массив (элементы от 0 д 1000)
1000;1.60056e+006;1.66006e+006;2.22509e+006;18633.6;89575.9;30083.1;776357;765773;620713;64143.1;456443;150095;
2000;6.86114e+006;5.48129e+006;5.92497e+006;47273.5;182616;42911.8;1.57042e+006;1.51721e+006;1.40534e+006;166002;2.29738e+006;324051;
3000;1.44957e+007;1.23289e+007;1.59624e+007;96952.4;380144;66580.6;2.29539e+006;2.32317e+006;2.1462e+006;253365;2.66037e+006;493517;
4000;2.48531e+007;2.37243e+007;2.38782e+007;94290.4;457180;81590.1;3.20142e+006;3.11845e+006;3.04289e+006;361190;5.83889e+006;659071;
5000;3.81738e+007;3.40352e+007;3.60923e+007;124919;355257;106446;3.7848e+006;3.88345e+006;3.75837e+006;466385;1.04996e+007;794926;
6000;6.01528e+007;5.06511e+007;4.34642e+007;150287;760032;110647;4.59262e+006;4.64765e+006;4.63008e+006;543517;9.88581e+006;984405;
7000;7.50191e+007;6.59841e+007;7.30162e+007;87651.6;932064;131975;5.66519e+006;5.43966e+006;5.45929e+006;639186;1.20126e+007;1.10685e+006;
8000;1.02585e+008;1.08896e+008;1.17322e+008;129954;937933;149101;6.14921e+006;6.18625e+006;6.35168e+006;735433;1.92523e+007;1.42237e+006;



Обратно сортированный массив (элементы от 0 до 1000)
1000;3.44564e+006;3.75667e+006;3.78704e+006;2.13327e+006;1.92096e+006;28126.8;768531;727864;533030;62507.5;927382;157054;
